"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"tci_p4_15","Integer","","Recommended","Please choose ''Definitely True.'' This is a validity item.[ORG_ITM-120]","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_p4_20","Integer","","Recommended","I make a warm personal connection with most people.[ORG_ITM-125]","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_18","Integer","","Recommended","I would do almost anything legal in order to become rich and famous, even if I would lose the trust of many old friends","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_p4_25","Integer","","Recommended","It is easy for other people to get close to me emotionally.[ORG_ITM-130]","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_p4_27","Integer","","Recommended","Please choose ''Mostly or Probably False.'' This is a validity item.[ORG_ITM-132]","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_19","Integer","","Recommended","I am much more reserved and controlled than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_21","Integer","","Recommended","I like to discuss my experiences and feelings openly with friends instead of keeping them to myself","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_22","Integer","","Recommended","I have less energy and get tired more quickly than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_24","Integer","","Recommended","I seldom feel free to choose what I want to do","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_27","Integer","","Recommended","I often avoid meeting strangers because I tack confidence with people I do not know","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_28","Integer","","Recommended","I like to please other people as much as I can","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_32","Integer","","Recommended","I often wish that I was smarter than everyone else","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_33","Integer","","Recommended","It gives me pleasure to see my enemies suffer","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_37","Integer","","Recommended","I am usually so determined that I continue to work long after other people have given up.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_39","Integer","","Recommended","I have many bad habits that I wish I could break.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_40","Integer","","Recommended","I often wait for someone else to provide a solution to my problems","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_41","Integer","","Recommended","I often spend money until I run out of cash or get into debt from using too much credit","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_45","Integer","","Recommended","Often I have unexpected flashes of insight or understanding while relaxing","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_46","Integer","","Recommended","I don''t care very much whether other people like me or the way I do things.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_47","Integer","","Recommended","I usually try to get just what I want for myself because it is not possible to satisfy ever/one anyway","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_1","Integer","","Recommended","I often try new things just for fun or thrills, even if most people think it is a waste of time","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_48","Integer","","Recommended","I have no patience with people who don''t accept my views","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_49","Integer","","Recommended","I don''t seem to understand most people very well","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_51","Integer","","Recommended","I sometimes feel so connected to nature that everything seems to be part of one living organism","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_54","Integer","","Recommended","When I have to meet a group of strangers, I am more shy than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_55","Integer","","Recommended","I am more sentimental than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_57","Integer","","Recommended","When someone hurts me in any way, I usually try to get even","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_59","Integer","","Recommended","Each day I try to take another step toward my goals","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_61","Integer","","Recommended","I like to think about things for a long time before I make a decision","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_62","Integer","","Recommended","I am more hard-working than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_64","Integer","","Recommended","I like to be of service to others.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_2","Integer","","Recommended","I usually am confident that everything will go well, even in situations that worry most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_67","Integer","","Recommended","I usually stay calm and secure in situations that most people would find physically dangerous","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_71","Integer","","Recommended","I do not think it is smart to help weak people who cannot help themselves","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_72","Integer","","Recommended","I cannot have any peace of mind if I treat other people unfairly, even if they are unfair to me","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_73","Integer","","Recommended","People will usually tell me how they feel.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_76","Integer","","Recommended","Sometimes I have felt like I was part of something with no limits or boundaries in time and space","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_77","Integer","","Recommended","I sometimes feel a spiritual connection to other people that I cannot explain in words","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_79","Integer","","Recommended","I like it when people can do whatever they want without strict rules and regulations","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_80","Integer","","Recommended","I would probably stay relaxed and outgoing when meeting a group of strangers, even if I were told they are unfriendly","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_81","Integer","","Recommended","Usually I am more worried than most people that something might go wrong in the future","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_82","Integer","","Recommended","I usually think about all the facts in detail before I make a decision","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_4","Integer","","Recommended","I often feel that I am the victim of circumstances","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_84","Integer","","Recommended","I often feel a strong sense of unity with all the things around me","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_86","Integer","","Recommended","Other people control me too much.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_88","Integer","","Recommended","Religious experiences have helped me understand the real purpose of my life","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_91","Integer","","Recommended","I am usually able to get other people to believe me, even when I know that what I am saying is exaggerated or untrue","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_97","Integer","","Recommended","Sometimes I have felt my life was being directed by a spiritual force greater than any human","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_98","Integer","","Recommended","I usually enjoy being mean to anyone who has been mean to me.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_99","Integer","","Recommended","I have a reputation as someone who is very practical and does not act on emotion","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_102","Integer","","Recommended","I am strongly moved by sentimental appeals (like when asked to help crippled children),","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_103","Integer","","Recommended","I usually push myself harder than most people do because I want to do as well as I possibly can","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_104","Integer","","Recommended","I have so many faults that I don''t like myself very much","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_5","Integer","","Recommended","I can usually accept other people as they are, even when they are very different from me.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_106","Integer","","Recommended","I often cannot deal with problems because I just don''t know what to do","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_109","Integer","","Recommended","I prefer spending money rather than saving it.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_110","Integer","","Recommended","I can usually do a good job of stretching the truth to tell a funnier story or to play a joke on someone","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_112","Integer","","Recommended","If I am embarrassed or humiliated, I get over it very quickly.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_113","Integer","","Recommended","It is extremely difficult for me to adjust to changes in my usual way of doing things because I get so tense, tired, or worried","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_114","Integer","","Recommended","I usually demand very good practical reasons before I am willing to change my old ways of doing things","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_119","Integer","","Recommended","I nearly always stay relaxed and carefree, even when nearly everyone else is fearful","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_120","Integer","","Recommended","I find sad songs and movies pretty boring","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_121","Integer","","Recommended","Circumstances often force me to do things against my will","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_123","Integer","","Recommended","I think that most things that are called miracles are just chance","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_7","Integer","","Recommended","I enjoy getting revenge on people who hurt me","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_125","Integer","","Recommended","I often become so fascinated with what I''m doing that I get lost in the moment - like I''m detached from time and place","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_126","Integer","","Recommended","I do not think I have a real sense of purpose for my life","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_129","Integer","","Recommended","I often feel tense and worried in unfamiliar situations, even when others feel there is no danger at all.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_130","Integer","","Recommended","I often follow my instincts, hunches, or intuition without thinking through all the details","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_131","Integer","","Recommended","Other people often think that t am too independent because I won''t do what they want","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_132","Integer","","Recommended","I often feel a strong spiritual or emotional connection with all the people around me.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_137","Integer","","Recommended","I usually try to imagine myself ''in other people''s shoes,'' so I can really understand them","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_138","Integer","","Recommended","Principles like fairness and honesty have little role in some aspects of life","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_139","Integer","","Recommended","I am better at saving money than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_141","Integer","","Recommended","Even when most people feel it is not important, I often insist on things being done in a strict and orderly way","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_9","Integer","","Recommended","Often I feel that my life has little purpose or meaning.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_142","Integer","","Recommended","I feel very confident and sure of myself in almost all social situations","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_143","Integer","","Recommended","My friends find it hard to know my feelings because I seldom tell them about my private thoughts","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_147","Integer","","Recommended","I am more energetic and tire less quickly than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_149","Integer","","Recommended","I often stop what I am doing because I get worried, even when my friends tell me everything will go well.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_150","Integer","","Recommended","I often wish I was more powerful than everyone else","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_153","Integer","","Recommended","Members of a team rarely get their fair share.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_156","Integer","","Recommended","I don''t go out of my way to please other people.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_157","Integer","","Recommended","I am not shy with strangers at all.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_159","Integer","","Recommended","I spend most of my time doing things that seem necessary but not really important to me","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_160","Integer","","Recommended","I don''t think that religious or ethnical principles about what is right and wrong should have much influence in business decisions.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_10","Integer","","Recommended","I like to help find a solution to problems so that everyone comes out ahead.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_161","Integer","","Recommended","I often try to put aside my own judgments so that I can better understand what other people are experiencing","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_162","Integer","","Recommended","Many of my habits make it hard for me to accomplish worthwhile goals","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_163","Integer","","Recommended","I have made real personal sacrifices in order to make the world a better place - like trying to prevent war, poverty, and injustice","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_166","Integer","","Recommended","I often give up a job if it takes much longer than I thought it would.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_169","Integer","","Recommended","My actions are determined largely by influences outside my control","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_180","Integer","","Recommended","I usually like to stay cool and detached from other people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_181","Integer","","Recommended","I am more likely to cry at a sad movie than most people","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_182","Integer","","Recommended","I recover more quickly than most people from minor illnesses or stress","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_183","Integer","","Recommended","I often break rules and regulations when I think I can get away with it.","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
"tci_1_5score_184","Integer","","Recommended","I need much more practice in developing good habits before I will be able to trust myself in many tempting situations","1::5; 999","1=Definitely false; 2=Mostly or probably false; 3=Neither true nor false or about equally true or false; 4=Mostly or probably true; 5=Definitely true; 999=Prefer not to answer/not applicable/left blank.",""
